Rang	Entreprise	Activité	Ville	Chiffre d'affaires
137	GEFCO SA	Affrètement et organisation des transports (52.29B)	PUTEAUX 92800	4 738 700 000 €
138	SOPRA-GMT	Activités des sièges sociaux (70.10Z)	ANNECY 74940	4 721 900 000 €
139	SERGESA EMIL FREY HOLDING FRANCE	Activités des sociétés holding (64.20Z)	SAINT OUEN L'AUMONE 95310	4 700 583 000 €
140	ADP AEROPORTS DE PARIS	Services auxiliaires des transports aériens (52.23Z)	TREMBLAY-EN-FRANCE 93290	4 700 000 000 €
141	SERVIER SAS	Autres activités de soutien aux entreprises n.c.a. (82.99Z)	SURESNES 92150	4 688 160 000 €
142	HAA AGRIAL ENTREPRISE	Activités des sociétés holding (64.20Z)	CAEN 14000	4 566 826 000 €
143	MANUFACTURE FRANCAISE DES PNEUMATIQUES MICHELIN	Conseil pour les affaires et autres conseils de gestion (70.22Z)	CLERMONT-FERRAND 63000	4 522 654 000 €
144	TEREOS SCA	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	ORIGNY-SAINTE-BENOITE 02390	4 491 800 000 €
145	DASSAULT SYSTEMES	Édition de logiciels applicatifs (58.29C)	VELIZY-VILLACOUBLAY 78140	4 452 200 000 €
146	SOPRA STERIA GROUP	Conseil en systèmes et logiciels informatiques (62.02A)	ANNECY 74940	4 434 000 000 €
147	SOCIETE L.D.C.	Activités des sièges sociaux (70.10Z)	SABLE-SUR-SARTHE 72300	4 418 842 000 €
148	METRO FRANCE	Commerce de gros (commerce interentreprises) alimentaire non spécialisé (46.39B)	NANTERRE 92000	4 400 012 525 €
149	ARCELORMITTAL FRANCE	Sidérurgie (24.10Z)	SAINT-DENIS 93210	4 374 253 000 €
150	MONOPRIX EXPLOITATION, PAR ABREVIATION MPX	Magasins multi-commerces (47.11E)	CLICHY 92110	4 206 037 000 €
151	NEXITY	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	4 200 728 000 €
152	SCAMARK	Fabrication d'autres produits alimentaires n.c.a. (10.89Z)	IVRY-SUR-SEINE 94200	4 189 688 140 €
153	FNAC DARTY PARTICIPATIONS ET SERVICES	Centrales d'achat non alimentaires (46.19A)	IVRY-SUR-SEINE 94200	4 129 454 647 €
154	MERCEDES-BENZ FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	MONTIGNY-LE-BRETONNEUX 78180	4 124 706 954 €
155	POMONA	Commerce de gros (commerce interentreprises) alimentaire non spécialisé (46.39B)	ANTONY 92160	4 103 362 000 €
156	CORA	Hypermarchés (47.11F)	CROISSY-BEAUBOURG 77183	4 086 526 316 €
157	ACCOR	Activités des sièges sociaux (70.10Z)	ISSY-LES-MOULINEAUX 92130	4 049 000 000 €
158	ALSTOM TRANSPORT SA	Construction de locomotives et d'autre matériel ferroviaire roulant (30.20Z)	SAINT-OUEN-SUR-SEINE 93400	4 046 000 000 €
159	ASF AUTOROUTES DU SUD DE LA FRANCE	Services auxiliaires des transports terrestres (52.21Z)	NANTERRE 92000	4 038 000 000 €
160	CERP ROUEN COMPAGNIE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUES DE ROUEN	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	ROUEN 76000	3 947 079 231 €
161	DESCOURS ET CABAUD SA	Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright (77.40Z)	LYON 2EME 69002	3 925 808 000 €
162	MANPOWER FRANCE	Activités des agences de travail temporaire (78.20Z)	NANTERRE 92000	3 909 675 000 €
163	PATHE	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	3 872 000 000 €
164	CFM INTERNATIONAL	Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (46.69B)	PARIS 15 75015	3 844 862 000 €
165	TECHNICOLOR	Activités des sièges sociaux (70.10Z)	PARIS 4 75004	3 800 000 000 €
166	ORANO	Activités des sociétés holding (64.20Z)	CHATILLON 92320	3 787 000 000 €
167	KORIAN	Conseil pour les affaires et autres conseils de gestion (70.22Z)	PARIS 8 75008	3 772 509 000 €
168	PSA RETAIL FRANCE SAS	Commerce de voitures et de véhicules automobiles légers (45.11Z)	POISSY 78300	3 769 050 292 €
169	TOTALENERGIES PETROCHEMICALS FRANCE	Fabrication d'autres produits chimiques organiques de base (20.14Z)	COURBEVOIE 92400	3 767 442 822 €
170	ORPEA	Hébergement médicalisé pour personnes âgées (87.10A)	PUTEAUX 92800	3 740 215 000 €
171	COMPAGNIE MERIEUX ALLIANCE	Fonds de placement et entités financières similaires (64.30Z)	LYON 2EME 69002	3 734 600 000 €
172	PEUGEOT CITROEN MULHOUSE SNC	Construction de véhicules automobiles (29.10Z)	SAUSHEIM 68390	3 734 331 705 €
173	NAVAL GROUP	Construction de navires et de structures flottantes (30.11Z)	PARIS 15 75015	3 712 100 000 €
174	ROQUETTE FRERES	Fabrication de produits amylacés (10.62Z)	LESTREM 62136	3 690 806 000 €
175	SCHNEIDER ELECTRIC INDUSTRIES SAS	Commerce de gros (commerce interentreprises) de matériel électrique (46.69A)	RUEIL-MALMAISON 92500	3 687 868 309 €
176	ERAMET	Commerce de gros (commerce interentreprises) de minerais et métaux (46.72Z)	PARIS 15 75015	3 671 000 000 €
177	EURAZEO	Autres activités de soutien aux entreprises n.c.a. (82.99Z)	PARIS 17 75017	3 660 322 000 €
178	AHR ALLIANCE HEALTHCARE REPARTITION	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	GENNEVILLIERS 92230	3 624 506 934 €
179	BMW FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	MONTIGNY-LE-BRETONNEUX 78180	3 541 428 777 €
180	JC DECAUX HOLDING	Activités des sièges sociaux (70.10Z)	NEUILLY-SUR-SEINE 92200	3 493 900 000 €
181	JCDECAUX SA	Activités des sièges sociaux (70.10Z)	NEUILLY-SUR-SEINE 92200	3 487 600 000 €
182	GRDF	Distribution de combustibles gazeux par conduites (35.22Z)	PARIS 9 75009	3 485 969 000 €
183	NGAM NATIXIS INVESTMENT MANAGERS	Activités des sièges sociaux (70.10Z)	PARIS 13 75013	3 456 208 000 €
184	F.B.S.A BEL	Fabrication de fromage (10.51C)	SURESNES 92150	3 455 800 000 €
185	UNIBEL	Activités des sociétés holding (64.20Z)	SURESNES 92150	3 455 700 000 €
186	EXCLUSIVE NETWORKS SA	Activités des sociétés holding (64.20Z)	BOULOGNE-BILLANCOURT 92100	3 444 363 000 €
187	MEAUXCAS	Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus) (47.52B)	VILLIERS-SUR-MARNE 94350	3 406 245 000 €
188	RAMSAY GENERALE DE SANTE	Fonds de placement et entités financières similaires (64.30Z)	PARIS 17 75017	3 401 100 000 €
189	VIVESCIA	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	REIMS 51100	3 385 748 000 €
190	ALDI	Activités des sièges sociaux (70.10Z)	DAMMARTIN-EN-GOELE 77230	3 372 260 000 €
191	INGENICO GROUP	Activités des sièges sociaux (70.10Z)	PARIS 15 75015	3 370 100 000 €
192	HFP HOLDING AND FINANCIAL PARTICIPATION	Gestion de fonds (66.30Z)	VEAUCHE 42340	3 358 178 000 €
193	SPCM SA	Activités des sièges sociaux (70.10Z)	ANDREZIEUX-BOUTHEON 42160	3 358 147 000 €
194	HERMES SELLIER	Fabrication d'articles de voyage, de maroquinerie et de sellerie (15.12Z)	PARIS 8 75008	3 340 277 116 €
195	GROUPE SPAG	Promotion immobilière de logements (41.10A)	MONTPELLIER 34000	3 311 658 691 €
196	SOLETANCHE FREYSSINET	Activités des sièges sociaux (70.10Z)	RUEIL-MALMAISON 92500	3 299 555 000 €
197	AS 24	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	SAINT-HERBLAIN 44800	3 267 499 526 €
198	ALTRAN TECHNOLOGIES	Ingénierie, études techniques (71.12B)	PARIS 16 75116	3 217 105 000 €
199	DECATHLON FRANCE	Commerce de détail d'articles de sport en magasin spécialisé (47.64Z)	VILLENEUVE D'ASCQ 59650	3 146 023 357 €
200	A.I.A ALTRAD INVESTMENT AUTHORITY	Activités des sièges sociaux (70.10Z)	FLORENSAC 34510	3 105 422 000 €
201	HOLDING SOPREMA	Activités des sièges sociaux (70.10Z)	STRASBOURG 67100	3 084 000 000 €
202	LA FINANCIERE ATALIAN	Activités des sociétés holding (64.20Z)	PARIS 17 75017	3 058 500 000 €
203	FRANCE TELEVISIONS	Édition de chaînes généralistes (60.20A)	PARIS 15 75015	3 022 400 000 €
204	SAPRR APRR	Services auxiliaires des transports terrestres (52.21Z)	SAINT-APOLLINAIRE 21850	3 015 900 000 €
205	MEUBLES IKEA FRANCE	Commerce de détail de meubles (47.59A)	PLAISIR 78370	3 006 553 751 €
206	TARKETT	Activités des sièges sociaux (70.10Z)	PUTEAUX 92800	2 991 990 000 €
207	SOCIETE INVESTISSEMENT DECONINCK	Activités des sièges sociaux (70.10Z)	PUTEAUX 92800	2 991 800 000 €
208	AUCHAN SUPERMARCHE	Supermarchés (47.11D)	CROIX 59170	2 954 811 022 €
209	TECH DATA FRANCE	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	BUSSY-SAINT-GEORGES 77600	2 924 121 379 €
210	FREE	Télécommunications filaires (61.10Z)	PARIS 8 75008	2 907 499 967 €
211	SMAE SOCIETE MECANIQUE AUTOMOBILE DE L'EST	Construction de véhicules automobiles (29.10Z)	TREMERY 57300	2 880 741 641 €
212	ALTAREA	Location de terrains et d'autres biens immobiliers (68.20B)	PARIS 2 75002	2 880 200 000 €
213	TMMF TOYOTA MOTOR MANUFACTURING FRANCE	Construction de véhicules automobiles (29.10Z)	ONNAING 59264	2 879 848 076 €
214	SANOFI-AVENTIS GROUPE	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	2 864 000 000 €
215	ALTAREIT	Promotion immobilière de logements (41.10A)	PARIS 2 75002	2 860 200 000 €
216	ARKEMA FRANCE	Fabrication d'autres produits chimiques organiques de base (20.14Z)	COLOMBES 92700	2 855 000 000 €
217	BONDUELLE	Activités des sociétés holding (64.20Z)	RENESCURE 59173	2 854 876 000 €
218	GROUPE LACTALIS	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	LAVAL 53000	2 843 593 034 €
219	AIRBUS HELICOPTERS	Construction aéronautique et spatiale (30.30Z)	MARIGNANE 13700	2 840 000 000 €
220	SPS SOCIETE DES PETROLES SHELL	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	PUTEAUX 92800	2 816 145 545 €
221	ITM ALIMENTAIRE CENTRE EST	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	2 802 713 774 €
222	MOBIVIA	Conseil pour les affaires et autres conseils de gestion (70.22Z)	SAINGHIN-EN-MELANTOIS 59262	2 781 012 000 €
223	SEF SAMSUNG ELECTRONICS FRANCE	Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication (46.52Z)	SAINT-OUEN-SUR-SEINE 93400	2 771 232 085 €
224	ARIANEGROUP SAS	Construction aéronautique et spatiale (30.30Z)	LES MUREAUX 78130	2 760 754 000 €
225	VICAT	Fabrication de ciment (23.51Z)	L'ISLE-D'ABEAU 38080	2 739 993 000 €
