Rang	Entreprise	Activité	Ville	Chiffre d'affaires
641	AXXES	Services auxiliaires des transports terrestres (52.21Z)	LYON 3EME 69003	905 254 442 €
642	CREDIT AGRICOLE TECHNOLOGIES ET SERVICES	Tierce maintenance de systèmes et d'applications informatiques (62.02B)	PARIS 12 75012	902 655 661 €
643	BULL SAS	Conseil en systèmes et logiciels informatiques (62.02A)	LES CLAYES-SOUS-BOIS 78340	902 094 260 €
644	ELIVIA	Transformation et conservation de la viande de boucherie (10.11Z)	ANCENIS-SAINT-GEREON 44150	901 165 250 €
645	CIRCET	Télécommunications filaires (61.10Z)	SOLLIES-PONT 83210	894 676 663 €
646	SA DE LA RAFFINERIE DES ANTILLES	Raffinage du pétrole (19.20Z)	LE LAMENTIN 97232	894 143 000 €
647	VIEL ET COMPAGNIE	Activités des sociétés holding (64.20Z)	PARIS 1 75001	888 122 000 €
648	VIEL ET COMPAGNIE-FINANCE	Activités des sociétés holding (64.20Z)	PARIS 1 75001	888 122 000 €
649	PROSOL	Commerce de gros (commerce interentreprises) de fruits et légumes (46.31Z)	CHAPONNAY 69970	886 016 021 €
650	BIOGARAN	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	COLOMBES 92700	884 027 490 €
651	VOLVO CAR FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	NANTERRE 92000	883 133 195 €
652	AUTOMOBILES DEFENSE	Location de terrains et d'autres biens immobiliers (68.20B)	PUTEAUX 92800	882 309 000 €
653	MFC PROU-INVESTISSEMENT	Activités des sociétés holding (64.20Z)	ALENCON 61000	881 793 000 €
654	FENWICK-LINDE	Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (46.69B)	ELANCOURT 78990	878 417 923 €
655	AUTODISTRIBUTION	Commerce de gros d'équipements automobiles (45.31Z)	ARCUEIL 94110	875 291 411 €
656	SIDEL BLOWING & SERVICES	Fabrication de machines pour le travail du caoutchouc ou des plastiques (28.96Z)	OCTEVILLE-SUR-MER 76930	873 901 832 €
657	IDEMIA FRANCE	Fabrication de cartes électroniques assemblées (26.12Z)	COURBEVOIE 92400	869 825 000 €
658	LAMIRAULT SCHUMACHER DISTRIBUTION	Activités des sociétés holding (64.20Z)	NOGENT-LE-PHAYE 28630	869 374 000 €
659	VARO ENERGY FRANCE SAS	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	BRUGES 33520	869 056 324 €
660	SOCO 1	Conseil pour les affaires et autres conseils de gestion (70.22Z)	GUYANCOURT 78280	868 784 000 €
661	LENOVO FRANCE SAS	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	RUEIL-MALMAISON 92500	868 475 438 €
662	FINANCIERE COLISEE	Activités des sociétés holding (64.20Z)	PARIS 8 75008	866 095 000 €
663	FINANCIERE AFG	Activités des sièges sociaux (70.10Z)	NEUILLY-PLAISANCE 93360	865 677 000 €
664	LEGRAND FRANCE	Fabrication de matériel d'installation électrique (27.33Z)	LIMOGES 87000	862 000 000 €
665	CHANEL PARFUMS BEAUTE	Fabrication de parfums et de produits pour la toilette (20.42Z)	NEUILLY-SUR-SEINE 92200	860 103 351 €
666	ESOMET	Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis (46.11Z)	PARIS 1 75001	859 662 045 €
667	LA HALLE	Commerce de détail d'habillement en magasin spécialisé (47.71Z)	PARIS 19 75019	859 316 321 €
668	ECOTONE HOLDCO I	Activités des sociétés holding (64.20Z)	SAINT-GENIS-LAVAL 69230	859 300 000 €
669	AGCO S.A.S.	Fabrication de machines agricoles et forestières (28.30Z)	BEAUVAIS 60000	856 995 666 €
670	SOCIETE DE DISTRIBUTION AEROPORTUAIRE	Autres commerces de détail en magasin non spécialisé (47.19B)	COURBEVOIE 92400	856 446 960 €
671	KIA FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	RUEIL-MALMAISON 92500	854 797 992 €
672	CDA COMPAGNIE DES ALPES	Activités des sièges sociaux (70.10Z)	PARIS 9 75009	854 011 000 €
673	VALEO EQUIPEMENTS ELECTRIQUES MOTEUR	Fabrication d'équipements électriques et électroniques automobiles (29.31Z)	CRETEIL 94000	853 933 515 €
674	SEB SA	Activités des sociétés holding (64.20Z)	ECULLY 69130	853 324 600 €
675	GROUPE SEB FRANCE	Commerce de gros (commerce interentreprises) d'autres biens domestiques (46.49Z)	ECULLY 69130	853 324 554 €
676	CARREFOUR IMPORT	Commerce de gros (commerce interentreprises) d'autres biens domestiques (46.49Z)	MASSY 91300	851 775 602 €
677	ARROW ECS	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	COURBEVOIE 92400	849 449 052 €
678	SCASO SOC CENTRALE APPROVISION SUD OUEST	Centrales d'achat alimentaires (46.17A)	CESTAS 33610	844 175 660 €
679	RAZEL-BEC	Construction d'autres ouvrages de génie civil n.c.a. (42.99Z)	SACLAY 91400	843 875 000 €
680	GROUPE SEB EXPORT	Commerce de gros (commerce interentreprises) d'appareils électroménagers (46.43Z)	ECULLY 69130	843 279 146 €
681	ARC HOLDINGS	Activités des sièges sociaux (70.10Z)	ARQUES 62510	841 048 000 €
682	EDF PEI EDF PRODUCTION ELECTRIQUE INSULAIRE SAS	Production d'électricité (35.11Z)	PUTEAUX 92800	839 000 000 €
683	O.S.H. ORANGINA SCHWEPPES HOLDING FRANCE	Activités des sociétés holding (64.20Z)	NEUILLY-SUR-SEINE 92200	838 429 052 €
684	JAGUAR LAND ROVER FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	COLOMBES 92700	837 896 773 €
685	SPBI	Construction de bateaux de plaisance (30.12Z)	DOMPIERRE-SUR-YON 85170	837 500 000 €
686	LILLY FRANCE	Fabrication de préparations pharmaceutiques (21.20Z)	NEUILLY-SUR-SEINE 92200	837 314 025 €
687	BUTAGAZ	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	LEVALLOIS-PERRET 92300	834 037 000 €
688	SOGEA SATOM	Construction de routes et autoroutes (42.11Z)	RUEIL-MALMAISON 92500	833 806 000 €
689	LES CINEMAS PATHE GAUMONT	Location de terrains et d'autres biens immobiliers (68.20B)	PARIS 8 75008	830 515 000 €
690	UBIPHARM	Activités des sociétés holding (64.20Z)	LE GRAND-QUEVILLY 76120	829 291 000 €
691	CITEO	Autres activités de soutien aux entreprises n.c.a. (82.99Z)	PARIS 9 75009	828 028 103 €
692	TECHNICOLOR DELIVERY TECHNOLOGIES	Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication (46.52Z)	PARIS 4 75004	826 920 556 €
693	EGLG ENTREPRISE GENERALE LEON GROSSE	Construction d'autres bâtiments (41.20B)	AIX-LES-BAINS 73100	826 168 000 €
694	UPS UNITED PARCEL SERVICE FRANCE SAS	Messagerie, fret express (52.29A)	PARIS 12 75012	825 887 290 €
695	SCA LANDES CENTRALE D'APPROVISIONNEMENT DES LANDES	Centrales d'achat alimentaires (46.17A)	MONT-DE-MARSAN 40000	825 509 168 €
696	ORANGE BUSINESS SERVICES	Conseil en systèmes et logiciels informatiques (62.02A)	SAINT-DENIS 93210	825 002 000 €
697	ALSTOM CRESPIN SAS	Construction de locomotives et d'autre matériel ferroviaire roulant (30.20Z)	CRESPIN 59154	822 862 001 €
698	KUEHNE+NAGEL	Entreposage et stockage non frigorifique (52.10B)	FERRIERES-EN-BRIE 77164	822 550 774 €
699	K1 GROUP SAS	Activités des sociétés holding (64.20Z)	PARIS 8 75008	820 308 000 €
700	SMURFIT KAPPA FRANCE	Fabrication de carton ondulé (17.21A)	SAINT-MANDE 94160	819 970 137 €
701	S.N.F. SA	Fabrication de matières plastiques de base (20.16Z)	ANDREZIEUX-BOUTHEON 42160	817 846 394 €
702	SOLVAY ENERGY SERVICES	Commerce de combustibles gazeux par conduites (35.23Z)	AUBERVILLIERS 93300	816 402 556 €
703	EVOBUS FRANCE SASU	Construction de véhicules automobiles (29.10Z)	SARCELLES 95200	815 579 582 €
704	ES ENERGIES STRASBOURG	Commerce d'électricité (35.14Z)	STRASBOURG 67000	814 785 275 €
705	ADVITAM PARTICIPATIONS	Activités des sociétés holding (64.20Z)	SAINT-LAURENT-BLANGY 62223	813 360 000 €
706	SCAPNOR SOC COOP APPROVISIONNEMENT PARIS NORD	Centrales d'achat alimentaires (46.17A)	BRUYERES-SUR-OISE 95820	812 317 582 €
707	APPLE RETAIL FRANCE EURL	Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé (47.41Z)	PARIS 9 75009	811 892 174 €
708	TOTALENERGIES EP THAILAND	Extraction de pétrole brut (06.10Z)	COURBEVOIE 92400	811 337 974 €
709	STMICROELECTRONICS SA	Fabrication de composants électroniques (26.11Z)	MONTROUGE 92120	811 133 156 €
710	ERAMET COMILOG MANGANESE	Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques (46.12B)	PARIS 15 75015	809 638 292 €
711	SPMSD MSD VACCINS	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	LYON 7EME 69007	808 192 323 €
712	NOCIBE FRANCE DISTRIBUTION	Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé (47.75Z)	VILLENEUVE D'ASCQ 59650	807 839 677 €
713	FLOREAL	Commerce de détail de carburants en magasin spécialisé (47.30Z)	SAINT-ETIENNE 42000	807 572 000 €
714	SAS EM SAS EQUIPEMENT DE LA MAISON	Centrales d'achat non alimentaires (46.19A)	PARIS 15 75015	802 070 511 €
715	TDF T D F	Télécommunications sans fil (61.20Z)	MONTROUGE 92120	796 618 000 €
716	UBISOFT EMEA	Édition et distribution vidéo (59.13B)	SAINT-MANDE 94160	795 482 956 €
717	INFINEUM FRANCE	Fabrication d'autres produits chimiques n.c.a. (20.59Z)	BERRE L'ETANG 13130	791 934 214 €
718	HENKEL FRANCE	Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien (46.44Z)	BOULOGNE-BILLANCOURT 92100	791 761 330 €
719	HYUNDAI MOTOR FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	LA GARENNE-COLOMBES 92250	790 586 103 €
720	AXA INVESTMENT MANAGERS PARIS	Gestion de fonds (66.30Z)	PUTEAUX 92800	789 815 164 €
721	NESTLE PURINA PETCARE COMMERCIAL OPERATIONS FRANCE OU NPPCOF	Autres commerces de détail alimentaires en magasin spécialisé (47.29Z)	ISSY-LES-MOULINEAUX 92130	789 328 069 €
722	SOCIETE VALMY DEFENSE 17 - SDV 17	Commerce de combustibles gazeux par conduites (35.23Z)	SAINT-ANDRE-LEZ-LILLE 59350	789 030 477 €
723	ELRES	Autres services de restauration n.c.a. (56.29B)	COURBEVOIE 92400	788 869 684 €
724	TRANSAVIA FRANCE	Transports aériens de passagers (51.10Z)	ORLY 94310	788 764 122 €
725	PERNOD RICARD FRANCE	Production de boissons alcooliques distillées (11.01Z)	MARSEILLE 2 13002	788 419 435 €
726	SEDIFRAIS	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	GONESSE 95500	787 984 134 €
727	CHARVET LA MURE BIANCO	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	LYON 2EME 69002	787 274 125 €
728	SKF FRANCE	Fabrication d'engrenages et d'organes mécaniques de transmission (28.15Z)	MONTIGNY-LE-BRETONNEUX 78180	785 554 703 €
729	KUBOTA EUROPE	Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil (46.63Z)	ARGENTEUIL 95100	785 117 000 €
730	ESCOTA AUTOROUTE ESTEREL COTE AZUR PROVENCE ALP	Services auxiliaires des transports terrestres (52.21Z)	MANDELIEU-LA-NAPOULE 06210	785 000 000 €
731	PLANET PAYMENT FRANCE SAS	Autres intermédiaires du commerce en produits divers (46.19B)	PUTEAUX 92800	784 193 163 €
732	MARS PF FRANCE	Fabrication d'aliments pour animaux de compagnie (10.92Z)	SAINT DENIS DE L'HOTEL 45550	783 434 968 €
733	BM BERGERAT MONNOYEUR	Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil (46.63Z)	SAINT-DENIS 93200	782 596 848 €
734	OCEALIA	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	COGNAC 16100	780 551 650 €
735	MANUTAN INTERNATIONAL	Activités des sièges sociaux (70.10Z)	GONESSE 95500	779 705 000 €
736	GROUPE BUTAGAZ	Activités des sociétés holding (64.20Z)	LEVALLOIS-PERRET 92300	778 813 000 €
737	MARS WRIGLEY CONFECTIONERY FRANCE	Fabrication de cacao, chocolat et de produits de confiserie (10.82Z)	HAGUENAU 67500	778 780 074 €
738	EXEL	Activités des sociétés holding (64.20Z)	EPERNAY 51200	778 440 000 €
739	DFP DISTRIBUTION FRANPRIX	Centrales d'achat alimentaires (46.17A)	CHENNEVIERES-SUR-MARNE 94430	777 745 869 €
740	EXEL INDUSTRIES	Activités des sièges sociaux (70.10Z)	EPERNAY 51200	776 687 000 €
741	ALTAVIA	Activités des agences de publicité (73.11Z)	PARIS 8 75008	776 467 000 €
742	MEDTRONIC FRANCE	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	PARIS 14 75014	775 026 046 €
743	LAFARGEHOLCIM BETONS	Fabrication de béton prêt à l'emploi (23.63Z)	CLAMART 92140	772 499 840 €
744	CLINEA	Activités hospitalières (86.10Z)	PUTEAUX 92800	769 560 313 €
745	ELECTRICITE DE STRASBOURG	Activités des sièges sociaux (70.10Z)	STRASBOURG 67000	766 737 000 €
746	MARTIN BELAYSOUD EXPANSION	Activités des sièges sociaux (70.10Z)	BOURG-EN-BRESSE 01000	766 087 000 €
747	FII FAURECIA INTERIEUR INDUSTRIE	Fabrication d'autres équipements automobiles (29.32Z)	NANTERRE 92000	765 775 782 €
748	AMAZON FRANCE LOGISTIQUE SAS	Entreposage et stockage non frigorifique (52.10B)	CLICHY 92110	764 481 859 €
749	STAUBLI FAVERGES	Fabrication d'autres machines spécialisées (28.99B)	FAVERGES-SEYTHENEX 74210	764 374 000 €
750	ADIDAS FRANCE	Commerce de gros (commerce interentreprises) d'habillement et de chaussures (46.42Z)	STRASBOURG 67000	762 958 045 €
751	KUEHNE + NAGEL ROAD	Transports routiers de fret interurbains (49.41A)	VILLEFRANCHE-SUR-SAONE 69400	762 480 315 €
752	DEVOTEAM	Traitement de données, hébergement et activités connexes (63.11Z)	LEVALLOIS-PERRET 92300	761 870 000 €
753	FLASH HOLDING	Activités des sièges sociaux (70.10Z)	ISSY-LES-MOULINEAUX 92130	760 767 000 €
754	JCDECAUX FRANCE	Régie publicitaire de médias (73.12Z)	NEUILLY-SUR-SEINE 92200	759 525 898 €
755	SPIE CITYNETWORKS	Construction de réseaux électriques et de télécommunications (42.22Z)	SAINT-DENIS 93200	759 476 937 €
756	NEXTER SYSTEMS	Construction de véhicules militaires de combat (30.40Z)	VERSAILLES 78000	758 837 000 €
757	HOLDING FRANCOIS MARY	Activités des sièges sociaux (70.10Z)	GLOS 14100	757 767 355 €
758	FINANCIERE FLASH	Courtage de valeurs mobilières et de marchandises (66.12Z)	ISSY-LES-MOULINEAUX 92130	756 342 000 €
759	CLAAS TRACTOR SAS	Fabrication de machines agricoles et forestières (28.30Z)	VELIZY-VILLACOUBLAY 78140	755 293 000 €
760	GROUPE LEGENDRE	Activités des sociétés holding (64.20Z)	SAINT-JACQUES-DE-LA-LANDE 35136	754 578 119 €
761	SOCIETE VALMY DEFENSE 38 EN ABREGE SVD 38	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	SAINT-ANDRE-LEZ-LILLE 59350	751 999 828 €
762	FINALTRA FINANCIERE ALSACIENNE DE TRANSPORT	Services administratifs combinés de bureau (82.11Z)	NOISY-LE-SEC 93130	751 346 584 €
763	SAFRANS	Fonds de placement et entités financières similaires (64.30Z)	STRASBOURG 67100	751 345 000 €
764	STMICROELECTRONICS ROUSSET SAS	Fabrication de composants électroniques (26.11Z)	ROUSSET 13790	749 664 373 €
765	PEUGEOT CITROEN MECANIQUE DU NORD OUEST SNC	Fabrication d'autres équipements automobiles (29.32Z)	CORMELLES-LE-ROYAL 14123	749 009 900 €
766	ALSO FRANCE	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	GENNEVILLIERS 92230	748 509 537 €
767	SVA SOCIETE VITREENNE D'ABATTAGE	Transformation et conservation de la viande de boucherie (10.11Z)	VITRE 35500	748 316 133 €
768	FACEBOOK FRANCE	Régie publicitaire de médias (73.12Z)	PARIS 2 75002	746 660 472 €
769	THALES DIS FRANCE SA	Fabrication de composants électroniques (26.11Z)	MEUDON 92190	744 988 000 €
770	GCA INVESTISSEMENTS	Activités des sociétés holding (64.20Z)	CHOLET 49300	744 271 265 €
771	CONTINENTAL AUTOMOTIVE FRANCE	Fabrication d'instrumentation scientifique et technique (26.51B)	TOULOUSE 31100	743 807 671 €
772	TOTALENERGIES GLNG AUSTRALIA	Activités de soutien à l'extraction d'hydrocarbures (09.10Z)	COURBEVOIE 92400	743 268 988 €
773	CARREFOUR PROXIMITE FRANCE	Supermarchés (47.11D)	MONDEVILLE 14120	740 157 704 €
774	KUHN SAS	Fabrication de machines agricoles et forestières (28.30Z)	SAVERNE 67700	739 312 337 €
775	RCBT RESEAU CLUBS BOUYGUES TELECOM	Autres activités de télécommunication (61.90Z)	MEUDON 92360	736 705 000 €
776	ATOS FRANCE	Conseil en systèmes et logiciels informatiques (62.02A)	BEZONS 95870	735 583 143 €
777	INVIVO TRADING	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	PARIS 16 75116	734 512 894 €
778	MYRTIL	Activités des sièges sociaux (70.10Z)	PUTEAUX 92800	732 466 000 €
779	LABORATOIRE GLAXOSMITHKLINE	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	RUEIL-MALMAISON 92500	732 259 120 €
780	NORIAP	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	BOVES 80440	732 215 051 €
781	BELL BONDUELLE EUROPE LONG LIFE	Autre transformation et conservation de légumes (10.39A)	RENESCURE 59173	728 047 534 €
782	PAROT AUTOMOTIVE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	MORANGIS 91420	723 506 000 €
783	ESSO RAFFINAGE	Raffinage du pétrole (19.20Z)	NANTERRE 92000	722 931 214 €
784	SODEXO ENTREPRISES	Restauration collective sous contrat (56.29A)	GUYANCOURT 78280	722 325 972 €
785	TOFANE GLOBAL	Activités des sociétés holding (64.20Z)	PARIS 16 75116	720 234 000 €
786	J.P.J.D. SCA	Activités des sociétés holding (64.20Z)	ROUBAIX 59100	720 003 000 €
787	FRANFINANCE LOCATION	Location et location-bail de machines de bureau et de matériel informatique (77.33Z)	NANTERRE 92000	719 278 000 €
788	EURO BENGALE ORGANISATION	Commerce de gros (commerce interentreprises) d'autres biens domestiques (46.49Z)	SAUVILLE 08390	718 853 506 €
789	HOLDING MIDI AUTO	Activités des sociétés holding (64.20Z)	BRIVE-LA-GAILLARDE 19100	718 157 083 €
790	SGE VERALLIA FRANCE	Fabrication de verre creux (23.13Z)	COURBEVOIE 92400	716 665 906 €
791	INVIVO RETAIL PRODUCTION MARCHANDISES	Centrales d'achat non alimentaires (46.19A)	PARIS 16 75116	715 172 920 €
792	COLAS FRANCE	Construction de routes et autoroutes (42.11Z)	PARIS 15 75015	715 019 712 €
793	GUERBET	Fabrication de préparations pharmaceutiques (21.20Z)	VILLEPINTE 93420	712 295 000 €
794	AB INBEV FRANCE	Commerce de gros (commerce interentreprises) de boissons (46.34Z)	LA MADELEINE 59110	709 582 398 €
795	ONET SERVICES	Nettoyage courant des bâtiments (81.21Z)	MARSEILLE 9 13009	709 525 276 €
796	INFRA FOCH TOPCO	Activités des sociétés holding (64.20Z)	PUTEAUX 92800	709 400 000 €
797	INDIGO GROUP	Activités des sociétés holding (64.20Z)	PUTEAUX 92800	709 400 000 €
798	ALVEA	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	MONTPOUILLAN 47200	705 295 671 €
799	GROUPE SECHE	Activités des sièges sociaux (70.10Z)	CHANGE 53810	705 109 466 €
800	CPH ARCADE - VYV	Location de logements (68.20A)	VINCENNES 94300	704 954 000 €
801	TOTALENERGIES MARKETING SERVICES	Activités des sièges sociaux (70.10Z)	PUTEAUX 92800	704 792 000 €
802	EXACOMPTA CLAIREFONTAINE	Activités des sièges sociaux (70.10Z)	ETIVAL-CLAIREFONTAINE 88480	703 436 000 €
803	PASQUIER	Activités des sièges sociaux (70.10Z)	LES CERQUEUX 49360	703 390 000 €
804	LHD LAFARGEHOLCIM DISTRIBUTION	Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (46.73A)	CLAMART 92140	702 951 707 €
805	HERTA	Préparation industrielle de produits à base de viande (10.13A)	NOISY-LE-GRAND 93160	702 220 717 €
806	MARTELL & CO	Production de boissons alcooliques distillées (11.01Z)	COGNAC 16100	701 603 271 €
807	O-I FRANCE SAS	Fabrication de verre creux (23.13Z)	VAULX-EN-VELIN 69120	701 059 597 €
808	IMA INTER MUTUELLES ASSISTANCE SA	Activités des sociétés holding (64.20Z)	NIORT 79000	700 597 956 €
809	ONF OFFICE NATIONAL DES FORETS	Services de soutien à l'exploitation forestière (02.40Z)	PARIS 12 75012	700 297 000 €
810	ONET SERVICES INDUSTRIE	Nettoyage courant des bâtiments (81.21Z)	MARSEILLE 9 13009	699 076 668 €
811	U-LOGISTIQUE	Entreposage et stockage frigorifique (52.10A)	CARQUEFOU 44470	698 110 000 €
812	MAJ	Location et location-bail d'autres biens personnels et domestiques (77.29Z)	PANTIN 93500	697 749 655 €
813	INTERFORUM	Commerce de gros (commerce interentreprises) d'autres biens domestiques (46.49Z)	PARIS 13 75013	697 345 400 €
814	DUTY FREE ASSOCIATES	Centrales d'achat non alimentaires (46.19A)	LEVALLOIS-PERRET 92300	696 359 172 €
815	STMICROELECTRONICS (CROLLES 2) SAS	Fabrication de composants électroniques (26.11Z)	CROLLES 38920	695 158 589 €
816	ID VALEURS	Fonds de placement et entités financières similaires (64.30Z)	ROUBAIX 59100	695 094 000 €
817	EVEL'UP	Commerce de gros (commerce interentreprises) d'animaux vivants (46.23Z)	LANDIVISIAU 29400	695 072 422 €
818	PRIMARK FRANCE SAS	Commerce de détail d'habillement en magasin spécialisé (47.71Z)	PARIS 9 75009	693 621 988 €
819	ALCATEL SUBMARINE NETWORKS	Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels (33.20D)	NOZAY 91620	692 355 905 €
820	YOPLAIT FRANCE	Fabrication de lait liquide et de produits frais (10.51A)	BOULOGNE-BILLANCOURT 92100	691 040 697 €
821	TOTALENERGIES EP LIBYE	Extraction de pétrole brut (06.10Z)	COURBEVOIE 92400	690 975 339 €
822	AMGEN SAS	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	BOULOGNE-BILLANCOURT 92100	690 162 153 €
823	LDC SABLE	Transformation et conservation de la viande de volaille (10.12Z)	SABLE-SUR-SARTHE 72300	689 024 260 €
824	ALVEST HOLDING	Activités des sièges sociaux (70.10Z)	PARIS 14 75014	686 951 000 €
825	BSA BLEDINA	Fabrication de lait liquide et de produits frais (10.51A)	LIMONEST 69760	686 167 136 €
826	F.M.T. FLEURY MICHON LS	Préparation industrielle de produits à base de viande (10.13A)	POUZAUGES 85700	685 045 517 €
827	ARMORINE	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	CAUDAN 56850	684 936 746 €
828	SMRC AUTOMOTIVE MODULES FRANCE SAS	Fabrication d'autres équipements automobiles (29.32Z)	HARNES 62440	683 034 413 €
829	ARCELORMITTAL DISTRIBUTION SOLUTIONS FRANCE	Commerce de gros (commerce interentreprises) de minerais et métaux (46.72Z)	SAINT-BRICE-COURCELLES 51370	682 926 657 €
830	GARUDA INDONESIA HOLIDAY FRANCE	Location et location-bail de matériels de transport aérien (77.35Z)	PARIS 1 75001	682 140 317 €
831	COMPUTACENTER FRANCE	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	ROISSY-EN-FRANCE 95700	679 817 689 €
832	TOTALENERGIES EP ANGOLA BLOCK 32	Activités de soutien à l'extraction d'hydrocarbures (09.10Z)	COURBEVOIE 92400	679 603 783 €
833	SFCE SOC FRANCAISE DE COMMERCE EUROPEEN	Commerce de gros d'équipements automobiles (45.31Z)	SEVRES 92310	679 578 583 €
834	CASTEL FRERES	Commerce de gros (commerce interentreprises) de boissons (46.34Z)	BLANQUEFORT 33290	679 113 666 €
835	LEONI WIRING SYSTEMS FRANCE	Commerce de gros d'équipements automobiles (45.31Z)	MONTIGNY-LE-BRETONNEUX 78180	678 687 065 €
836	DELPHARM INDUSTRIE	Activités des sociétés holding (64.20Z)	BOULOGNE-BILLANCOURT 92100	678 161 000 €
837	START PEOPLE	Activités des agences de travail temporaire (78.20Z)	SAINT-JULIEN-LES-METZ 57070	676 712 557 €
838	SII SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE	Conseil en systèmes et logiciels informatiques (62.02A)	PARIS 12 75012	676 334 000 €
839	GIFI DIFFUSION	Commerce de gros (commerce interentreprises) non spécialisé (46.90Z)	VILLENEUVE-SUR-LOT 47300	676 299 205 €
840	CF ET R COMPAGNIE DES FROMAGES ET RICHESMONTS	Fabrication de fromage (10.51C)	PUTEAUX 92800	675 893 102 €
841	TDF INFRASTRUCTURE	Activités des sièges sociaux (70.10Z)	MONTROUGE 92120	674 720 000 €
842	HOP!	Transports aériens de passagers (51.10Z)	BOUGUENAIS 44340	674 581 654 €
843	TIVANA FRANCE HOLDINGS	Activités des sociétés holding (64.20Z)	MONTROUGE 92120	674 530 000 €
844	GRID SOLUTIONS	Fabrication de matériel de distribution et de commande électrique (27.12Z)	BOULOGNE-BILLANCOURT 92100	674 526 796 €
845	SOCIETE NATIONALE DE RADIODIFFUSION RADIO FRANCE	Édition et diffusion de programmes radio (60.10Z)	PARIS 16 75016	673 881 000 €
846	SOGETREL	Construction de réseaux électriques et de télécommunications (42.22Z)	ISSY-LES-MOULINEAUX 92130	673 552 278 €
847	SECHE ENVIRONNEMENT	Activités des sièges sociaux (70.10Z)	CHANGE 53810	673 076 000 €
848	LIEBHERR-AEROSPACE TOULOUSE SAS	Construction aéronautique et spatiale (30.30Z)	TOULOUSE 31200	672 132 608 €
849	YARA FRANCE	Fabrication de produits azotés et d'engrais (20.15Z)	PUTEAUX 92800	669 246 384 €
850	CLS REMY COINTREAU	Commerce de gros (commerce interentreprises) de boissons (46.34Z)	PARIS 9 75009	667 849 023 €
851	LA PLATEFORME	Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (46.73A)	PARIS 19 75019	667 183 487 €
852	SAFRAN ELECTRICAL & POWER	Fabrication d'autres matériels électriques (27.90Z)	BLAGNAC 31700	667 096 000 €
853	TS LNG	Installation de structures métalliques, chaudronnées et de tuyauterie (33.20A)	LOON-PLAGE 59279	666 718 117 €
854	DEMATHIEU BARD CONSTRUCTION	Construction d'autres bâtiments (41.20B)	MONTIGNY-LES-METZ 57950	666 567 909 €
855	STORENGY FRANCE	Entreposage et stockage non frigorifique (52.10B)	BOIS-COLOMBES 92270	666 499 573 €
856	CIMENTS CALCIA	Fabrication de ciment (23.51Z)	GUERVILLE 78930	663 528 880 €
857	CEVA SANTE ANIMALE	Fabrication de préparations pharmaceutiques (21.20Z)	LIBOURNE 33500	663 173 000 €
